STANOX_NO,FULL_NAME,CRS_CODE,Route_Description
87904,3BDGS DN TL SDG ENTRY/EXIT,,Sussex
87915,3BDGS DOWN THAMESLINK SDGS,,Sussex
87907,3 BRIDGES DN DEP SIG TD127,,Sussex
87950,3 BRIDGES UP DEP SIG TD165,,Sussex
00005,AACHEN,,High Speed
04309,ABBEYHILL JN,,Scotland
04308,ABBEYHILL TURNBACK SDGS,,Scotland
87591,ABBEY STREET JN,,Kent
88601,ABBEY WOOD,ABW,Kent
88607,ABBEY WOOD (CROSSRAIL),ABX,Private Railway
88608,ABBEY WOOD CROSSRAIL SIDING,,Private Railway
88605,ABBEY WOOD ENGINEERING ROAD,,Kent
45185,ABBOTS RIPTON,,East Coast
67371,ABBOTSWOOD JN,XAY,Central
67373,ABBOTSWOOD JN BA7654 SIG,,Central
02106,ABDN CRG,,Scotland
02073,ABDNGSWRD,,Scotland
78371,ABER,ABE,TfW Cardiff Valleys
79760,ABERAIDEN SOUTH,,Wales
76639,ABERBEEG,,Wales
78128,ABERCWMBOI,,TfW Cardiff Valleys
78204,ABERCYNON,ACY,TfW Cardiff Valleys
78205,ABERCYNON JUNCTION,,TfW Cardiff Valleys
78203,ABERCYNON SIG A187,,TfW Cardiff Valleys
78100,ABERDARE,ABA,TfW Cardiff Valleys
02071,ABERDEEN,ABD,Scotland
02092,ABERDEEN A229 SIGNAL,,Scotland
02091,ABERDEEN A230 SIGNAL,,Scotland
02089,ABERDEEN A55 SIGNAL,,Scotland
02090,ABERDEEN A56 SIGNAL,,Scotland
02075,ABERDEEN CLAYHILLS CAR.M.D,XAC,Scotland
02102,ABERDEEN CRAIGINCHES,,Scotland
02100,ABERDEEN CRAIGINCHES COLAS,,Scotland
02104,ABERDEEN CRAIGINCHES FHH,,Scotland
02101,ABERDEEN CRAIGINCHES T.C.,,Scotland
02105,ABERDEEN CRAIGINCH LAFARGE,,Scotland
02083,ABERDEEN FERRYHILL DN SDGS,,Scotland
02084,ABERDEEN FERRYHILL G.L.,,Scotland
02081,ABERDEEN FERRYHILL GOODS LOOP,,Scotland
02082,ABERDEEN FERRYHILL JN,,Scotland
02088,ABERDEEN FERRYHILL TT,,Scotland
02086,ABERDEEN FERRYHILL UP SDGS,,Scotland
02068,ABERDEEN GUILD ST DRS,,Scotland
02076,ABERDEEN GUILD STREET GBRF,,Scotland
02077,ABERDEEN H.S.,,Scotland
02067,ABERDEEN NORTH SIDING,,Scotland
